UGL,Union Glacier Blue-Ice Runway,AQ
KGB,Konge,PG
YMA,Mayo,CA
GRV,Groznyy Airport,RU
KSB,Kasanombe,PG
YHN,Hornepayne,CA
GRW,Graciosa Island Airport,PT
GRX,Granada Airport,ES
GRY,Grimsey,IS
GRZ,Graz Airport,AT
GSA,Long Pasia,MY
GSB,Seymour Johnson AFB,US
GSE,Gothenburg City Airport,SE
GSH,Goshen,US
GSQ,Shark Elowainat,EG
GSR,Gardo,SO
GSY,Binbrook,GB
GTC,Green Turtle,BS
KLP,Kelp Bay,US
YCA,Courtenay,CA
GTF,Great Falls International Airport,US
KOZ,Ouzinkie SPB,US
LAB,Lablab,PG
KYX,Yalumet,PG
BAW,Biawonque,GA
HNI,Heiweni,PG
YGB,Gillies Bay,CA
GTG,Municipal,US
GTI,Guettin,DE
YHH,Harbor SPB,CA
GTK,Sungei Tekai,MY
YHG,Charlottetown,CA
GTO,Tolotio Airport,ID
GUL,Goulburn,AU
GUM,A.B. Won Pat International Airport,GU
GUO,Gualaco,HN
GUP,Senator Clark,US
GUS,Grissom AFB,US
GUW,Atyrau Airport,KZ
GUX,Guna,IN
GUY,Guymon,US
GUZ,Guarapari,BR
GVA,Geneve Airport,CH
GVE,Municipal,US
GVL,Lee Gilmer Memorial,US
GVN,May-Gatka,RU
GVR,Governador Valadares Airport,BR
GVT,Majors Field,US
GVW,Richards-Gebaur,US
GVX,Sandviken,SE
HOR,Horta Airport,PT
HOS,Oscar Reguera,AR
HOT,Memorial Field,US
HOV,Hovden Airport,NO
HOX,Homalin Airport,MM
MUF,Muting,ID
RUF,Yuruf,ID
RAQ,Sugimanuru,ID
LIQ,Lisala,CD
BBT,Berberati,CF
BPF,Batuna Aerodrome,SB
FDU,Bandundu,CD
FNE,Fane,PG
FYT,Faya,TD
GWE,Gweru,ZW
GXQ,Ten. Vidal,CL
GXX,Yagoua,CM
GXY,Weld County,US
GYA,Guayaramerin Airport,BO
GYD,Heydar Aliyev International Airport,AZ
GYE,Jose Joaquin de Olmedo Airport,EC
GYG,Magan Airport,RU
GYM,Gen Jose M Yanez,MX
GYN,Santa Genoveva Airport,BR
GYP,Gympie,AU
GYR,Litchfield,US
GYS,Guang Yuan Airport,CN
GYU,Guyuan Liupanshan Airport,CN
GYY,Gary/Chicago International,US
GZA,Gaza - Yaser Arafat International Airport,PS
GZG,Garze Gesar Airport,CN
GZI,Ghazni,AF
GZM,Gozo Heliport,MT
HDB,Airfield Heidelberg,DE
FAK,False Island,US
HRJ,Chaurjhari,NP
FOM,Foumban,CM
FRQ,Feramin,PG
GAX,Gamba,GA
AHW,Saih Rawl,OM
BKR,Bokoro,TD
BMW,Bordj Badji Mokhtar,DZ
BNQ,Baganga,PH
BNR,Banfora,BF
BNV,Boana,PG
BOP,Bouar,CF
BTG,Batangafo,CF
BZB,Bazaruto Island,MZ
HRK,Kharkov Airport,UA
HRL,Valley International Airport,US
GBF,Negarbo,PG
GDI,Gordil,CF
GZO,Gizo Airport,SB
GZW,Ghazvin,IR
HAA,Hasvik Airport,NO
HAB,Marion County,US
HAF,Half Moon,US
HOQ,Hof,DE
HTG,Hatanga Airport,RU
HTH,Hawthorne,US
HTL,Roscommon County,US
HTM,Khatgal,MN
HTN,Hotan Airport,CN
HTO,East Hampton,US
HTS,Tri-State/Milton Airport,US
HTT,Huatugou Airport,CN
AFD,Port Alfred,ZA
AGD,Anggi,ID
AII,Alisabieh,DJ
BTB,Betou,CG
CDO,Cradock,ZA
CEX,Chena Hot Springs,US
ELR,Elelim,ID
EMG,Empangeni,ZA
GXG,Negage,AO
HAI,Dr Haines,US
YNM,Matagami,CA
HTV,Huntsville,US
HAJ,Hannover Airport,DE
HAM,Hamburg Airport,DE
HAN,Noi Bai International Airport,VN
DST,Dubai Seaplane Terminal,AE
GCT,Grand Canyon Bar 10 Airport,US
RPU,San Fernando Airport,PH
BZX,Bazhong Enyang Airport,CN
CFM,Conklin (Leismer) Airport,CA
DBC,Baicheng Chang'an,CN
AAD,Adado,SO
ADV,El Daein,SD
AEQ,Ar Horqin Airport,CN
AHJ,Hongyuan Airport,CN
GGB,Água Boa,BR
AXF,Alxa Left Banner,CN
GGF,Almeirim,BR
GGH,Gastão Mesquita Airport,BR
HAO,Hamilton,US
AYM,Yas Island SPB,AE
HAR,Capital City,US
DHG,Dalnegorks,RU
BKV,Bailing Airport,CN
HAS,Hail Airport,SA
BVJ,Bovanenkovo Airport,RU
HAU,Haugesund Airport,NO
HAV,Jose Marti International Airport,CU
HAW,Haverfordwest,GB
DJH,Jebel Ali Seaplane Base,AE
KFM,Kirby Lake Aerodrome,CA
JWO,Jungwon Air Base,KR
HAY,Haycock,US
HAZ,Hatzfeldthaven,PG
HBA,Hobart International Airport,AU
HBD,Habi,PG
HBE,Borg El Arab Airport,EG
DBK,Dutch Bay SPB Seaplane Base,LK
HWD,Hayward Executive Airport,US
HWN,Hwange Nat Park,ZW
HWO,North Perry,US
KQR,Karara Airport,AU
DEQ,Deqing Moganshan Airport,CN
DWO,Diyawanna Oya Seaplane Base,LK
GEM,President Obiang Nguema International Airport,GQ
GGJ,Guaíra Airport,BR
GHK,Gahcho Kue Aerodrome,CA
GYZ,Gruyere Mine Airport,AU
HBG,The Hattiesburg-Bobby L. Chain Mun.,US
HBI,Harbour Island,BS
HBK,Holbrook Municipal,US
HBN,Flamingo,VN
HBO,Municipal,US
HBR,Hobart,US
HBU,Bulgan Hovd,MN
HBX,Hubli Airport,IN
HCW,Cheraw,US
HDD,Hyderabad,PK
HDE,Brewster Field,US
HDF,Heringsdorf Airport,DE
HDG,Handan Airport,CN
HDH,Dillingham Airfield,US
HXD,Delingha Airport,CN
NQZ,Nursultan Nazarbayev International Airport,KZ
HZL,Hazleton,US
PFM,Primrose Aerodrome,CA
OJU,Tanjung Api Airport,ID
DFA,Danfeng Airport,CN
GXA,Beringin Airport,ID
HBQ,Qilian Airport,CN
HDK,Kulhudhuffushi Airport,MV
HDM,Hamadan Airport,IR
HDR,Havadarya,IR
HDS,Hoedspruit Airport,ZA
HEB,Henzada,MM
HEE,Thompson-Robbins,US
HEI,Heide-Buesum,DE
HEM,Helsinki-malmi,FI
HEN,Hendon,FI
HEO,Haelogo,PG
HES,State,US
HET,Hohhot Baita International Airport,CN
HEV,Huelva,ES
HEW,Hengdian Airport,CN
HEY,Hanchey Army Heliport,US
HEZ,Hardy-Anders,US
HFA,Haifa Airport,IL
HFD,Brainard,US
HFF,Mackall AAF,US
HFN,Hornafjordur,IS
HFS,Hagfors Airport,SE
HFT,Hammerfest Airport,NO
HGE,Higuerote Airport,VE
HGI,Higlieg,SD
HGL,Helgoland,DE
MCJ,Maicao,CO
DEX,Nop Goliat Airport,ID
NIU,Niau,PF
ORV,Robert (Bob) Curtis Memorial Airport,US
EUE,Eureka,US
HID,Horn Island Airport,AU
WOG,Woodgreen Airport,AU
HIG,Highbury,AU
FID,Elizabeth Field,US
JOP,Josephstaal,PG
KXU,Katiu,PF
GHS,Melak Airport,ID
GSM,Dayrestan Airport,IR
AMK,Animas Airpark,US
BDX,Broadus,US
BER,Berlin Brandenburg Airport,DE
BHX,Birmingham International Airport,GB
CQW,CHERAW MUNI/LYNCH BELLINGER FLD AIRPORT,US
GYB,Wodgina Airport,AU
HCQ,Halls Creek,AU
HGD,Hughenden,AU
HGN,Mae Hong Son Airport,TH
HGO,Korhogo Airport,CI
HGR,Wash. County Regional Airport,US
HGS,Hastings,SL
HGU,Mount Hagen Airport,PG
HGZ,Hogatza,US
HIP,Headingly,AU
HRY,Henbury,AU
MCT,Muscat International Airport,OM
LTW,St Marys County,US
PCT,Princeton,US
ROF,Yreka Rohrer Field,US
AHD,Downtown,US
AHF,Municipal,US
ATE,Antlers,US
BLD,Boulder City,US
CHZ,State,US
CIL,Melsing Creek,US
CKE,Clear Lake,US
CNE,Canon City,US
COP,Cooperstown - Westville Airport,US
JVI,Central Jersey Regional Airport,US
CTK,Canton,US
CTO,Peconic River,US
HHE,Hachinohe,JP
HHH,Hilton Head Airport,US
HHQ,Hua Hin Airport,TH
HHR,Hawthorne,US
HIA,Huai'an Lianshui Airport,CN
HIB,Chisholm Airport,US
HIE,Regional,US
HIF,Hill AFB,US
HII,Municipal,US
HIJ,Hiroshima Airport,JP
HIK,Hickam AFB,US
HIL,Shillavo,ET
HIM,Hingurakgoda,LK
HIN,Sacheon Airport,KR
HIO,Portland,US
HIR,Honiara International Airport,SB
HIW,Hiroshima West,JP
HJJ,Zhijiang Airport,CN
BXP,Biala Podlaska,PL
HJR,Khajuraho Airport,IN
HKA,Municipal,US
AAF,Apalachicola Regional,US
HKB,Healy Lake,US
HKD,Hakodate Airport,JP
ABE,Lehigh Valley International Airport,US
HKG,Hong Kong International Airport,HK
HKN,Hoskins Airport,PG
ABI,Abilene Regional Airport,US
HKR,Mara North Airstrip,KE
HKV,Haskovo,BG
ABQ,Albuquerque International Sunport,US
HKY,Hickory,US
HLA,Lanseria International Airport,ZA
HLB,Hillenbrand,US
HLC,Hill City,US
HLD,Hulunbuir Hailar Airport,CN
HLE,Saint Helena Airport,SH
ABR,Aberdeen Municipal Airport,US
HLF,Hultsfred - Vimmerby,SE
HLG,Ohio County,US
ABY,Southwest Georgia Regional Airport,US
ACB,Antrim County,US
ACK,Nantucket Memorial Airport,US
HLH,Ulanhot Airport,CN
YOW,Ottawa/Macdonald-Cartier International Airport,CA
ACT,Waco Municipal Airport,US
ACV,Arcata-Eureka Airport,US
ACY,Atlantic City International Airport,US
ADG,Lenawee County,US
ADM,Ardmore Municipal Airport,US
ADS,Addison Airport,US
ADT,Ada Municipal,US
KAE,SPB,US
HLI,Hollister,US
ADW,Andrews AFB,US
KAF,Karato,PG
AEE,Adareil Airport,SS
HLM,Park Township,US
AEL,Albert Lea,US
IDG,Municipal,US
HLN,Helena Regional Airport,US
AEX,Alexandria International Airport,US
AFF,USAF Academy Airstrip,US
SXZ,Siirt Airport,TR
AFN,Municipal,US
AFO,Municipal,US
AFW,Fort Worth Alliance Airport,US
AGC,Allegheny County Airport,US
AGO,Municipal,US
KAK,Kar,PG
AGS,Augusta Regional Airport,US
AHC,Amedee AAF,US
NML,Mildred Lake,CA
AHH,Municipal,US
AHN,Athens-Ben Epps,US
AIA,Alliance Airport,US
AID,Municipal,US
AIK,Municipal,US
TBU,Fua'amotu International Airport,TO
AIO,Municipal,US
AIV,George Downer,US
AIZ,Lee C Fine Memorial,US
AKC,Fulton International,US
AKO,Colorado Plains Regional Airport,US
ALB,Albany International Airport,US
TDJ,Tadjoura,DJ
TDV,Tanandava,MG
ALI,International,US
TDX,Trat Airport,TH
GCD,Grand Coulee Dam,US
HLP,Halim Perdanakusuma Airport,ID
HLR,Fort Hood AAF,US
HLS,St Helens,AU
HLU,Houailou,NC
HLV,Helenvale,AU
HLY,Anglesey Airport,GB
HLZ,Hamilton International Airport,NZ
HMA,Khanty-Mansiysk Airport,RU
HMB,Mubarak International Airport,EG
HME,Oued Irara Airport,DZ
HMI,Hami Airport,CN
HMJ,Khmelnitskiy,UA
HMN,Holloman AFB,US
HMO,Gen Pesqueira Garcia Airport,MX
HMR,Hamar Airport,NO
HMS,Homeshore,US
HMT,Ryan Field,US
HMV,Hemavan Airport,SE
IDP,Independence,US
IDR,Devi Ahilya Bai Holkar Airport,IN
AXB,Alexandria Bay,US
HMY,Seosan Airport,KR
HNA,Hanamaki Airport,JP
HNB,Municipal,US
HNC,Hatteras,US
HND,Haneda Airport,JP
HNE,Tahneta Pass,US
HNG,Hienghene,NC
HNL,Honolulu International Airport,US
HNM,Hana Airport,US
HNN,Honinabi,PG
HNY,Hengyang Nanyue Airport,CN
HOA,Hola,KE
HOB,Lea County Airport,US
HOC,Komako,PG
HOD,Hodeidah Airport,YE
HOF,Al-Ahsa Airport,SA
HOG,Frank Pais Airport,CU
HOK,Hooker Creek,AU
HOL,Holikachu,US
IHA,Niihama,JP
HON,Howes,US
HOO,Nhon Co,VN
HOP,Campbell AAF,US
HOW,Howard AFB,PA
HOY,Hoy Island,GB
HPA,Salote Pilolevu,TO
HPE,Hope Vale,AU
HPG,Shennongjia Hongping Airport,CN
HPH,Cat Bi International Airport,VN
HPN,Westchester County Airport,US
HPT,Municipal,US
HPV,Princeville,US
HPY,Baytown Airport,US
HQM,Bowerman,US
HRA,Mansehra,PK
HRC,Zhairem,KZ
HRE,Harare International Airport,ZW
HRF,Hoarafushi Airport,MV
HRG,Hurghada International Airport,EG
HRM,Tilrempt,DZ
HRN,Heliport,AU
HRO,Boone County Airport,US
IJK,Izhevsk Airport,RU
HRS,Harrismith Airport,ZA
HRT,Linton-On-Ouse,GB
HRZ,Horizontina,BR
HSA,Hazret Sultan International Airport,KZ
HSB,Raleigh,US
HSG,Saga Airport,JP
HSH,Henderson Executive,US
HSI,Hastings,US
HSJ,Shangjie Airport,CN
HSK,Huesca-Pirineos,ES
HSM,Horsham,AU
HSN,Putuoshan Airport,CN
HSP,Ingalls Field,US
HSS,Hissar,IN
HST,AFB,US
HSV,Huntsville International Airport,US
HSZ,Hsinchu,TW
HTA,Chita Airport,RU
HTB,Terre-de-Bas,GP
HTU,Hopetoun,AU
HTY,Hatay Airport,TR
HTZ,Hato Corozal,CO
HUA,Redstone AAF,US
HUB,Humbert River,AU
HUC,Humacao Airport,PR
HUD,Humboldt,US
HUE,Humera Airport,ET
HUF,Hulman Field,US
HUG,Huehuetenango,GT
HUH,Huahine Airport,PF
HUI,Phu Bai International Airport,VN
HUJ,Hugo,US
HUK,Hukuntsi,BW
HUL,International,US
HUM,Terrebonne,US
HUO,Holingol Huolinhe Airport,CN
TEC,Telemaco Borba,BR
HUQ,Houn,LY
HUT,Hutchinson,US
HUU,Huanuco Airport,PE
HUV,Hudiksvall,SE
HUX,Huatulco Airport,MX
HUY,Humberside Airport,GB
HUZ,Huizhou Airport,CN
HVB,Hervey Bay Airport,AU
HVD,Khovd Airport,MN
HVE,Intermediate,US
HVG,Valan Airport,NO
HVK,Holmavik,IS
HVN,New Haven Airport,US
HVR,Havre City County Airport,US
HVS,Municipal,US
HWA,Hawabango,PG
HWI,SPB,US
HWK,Wilpena Pound,AU
HXX,Hay,AU
HYA,Barnstable Municipal Airport,US
HYC,High Wycombe,GB
HYD,Rajiv Gandhi International Airport,IN
HYL,SPB,US
HYN,Luqiao Airport,CN
ITQ,Itaqui,BR
HYR,Municipal,US
HYS,Hays Municipal Airport,US
HZA,Establecimiento El Araza Airport,AR
HZG,Hanzhong Airport,CN
HZH,Liping Airport,CN
IAA,Igarka Airport,RU
IAD,Washington Dulles International Airport,US
IAG,Niagara Falls International Airport,US
IAO,Sayak (Siargao),PH
IAQ,Bahregan,IR
IAR,Tunoshna Airport,RU
IAS,Iasi Airport,RO
IAU,Iaura,PG
IBA,Ibadan Airport,NG
IBB,General Villamil,EC
IBE,Ibague Airport,CO
HGA,Hargeisa Airport,SO
IBI,Iboki,PG
IBL,Indigo Bay Lodge,MZ
IBM,Iron Bridge Mine Airport,AU
IBP,Iberia,PE
IBR,Ibaraki Airport,JP
IBZ,Ibiza Airport,ES
ICC,Andrés Miguel Salazar Marcano Airport,VE
ICK,Nieuw Nickerie,SR
ICL,Municipal,US
ICO,Sicogon Island,PH
ICR,Nicaro,CU
ICS,Cascade,US
ICT,Wichita Dwight D. Eisenhower National Airport,US
ICY,Icy Bay,US
IDA,Idaho Falls Regional Airport,US
JHY,Hyatt Regency Heliport,US
JIB,Djibouti-Ambouli International Airport,DJ
ALN,Alton,US
IDC,Ila Da Chilonzuene,MZ
IDF,Idiofa,CD
IDI,ndiana County Airport (Jimmy Stewart Field),US
IDK,Indulkana,AU
IDN,Indagen,PG
IDY,Ile d'Yeu,FR
IEG,Zielona Gora-Babimost Airport,PL
IEV,Kyiv International Airport,UA
IFA,Iowa Falls,US
IFF,Iffley,AU
IFH,Hesa,IR
IFJ,Isafjordur Airport,IS
IFL,Innisfail,AU
IFN,Isfahan International Airport,IR
IFO,Ivano-Frankovsk Airport,UA
JNX,Naxos Airport,GR
JNP,Heliport,US
IFP,Laughlin Bullhead International Airport,US
JOI,Joinville-Lauro Carneiro de Loyola Airport,BR
IFU,Ifuru Airport,MV
JOH,Port Saint Johns,ZA
IGA,Inagua Airport,BS
IGB,Ingeniero Jacobacci,AR
IGD,Igdir,TR
IGG,Igiugig Airport,US
JOR,The City Heliport,US
IGH,Ingham,AU
JOT,Municipal,US
IGL,Cigli AB,TR
JPD,Heliport,US
JPN,Pentagon Army,US
JPR,Ji-Parana Airport,BR
JPT,Park Ten Heliport,US
JQE,Jaque Airport,PA
JRC,Municipalcipal Heliport,US
IGM,Kingman,US
IGN,Maria Cristina,PH
IGO,Chigorodo,CO
IGS,Ingolstadt-manching,DE
JRK,Arsuk,GL
JOE,Joensuu Airport,FI
JOG,Adisutjipto International Airport,ID
JRT,Juruti Airport,BR
JSA,Jaisalmer,IN
JSD,Sikorsky Heliport,US
JSG,San Rafael Heliport,US
JOK,Yoshkar-Ola Airport,RU
JOL,Jolo,PH
JOM,Njombe,TZ
JOS,Jos Airport,NG
JPA,Presidente Castro Pinto International Airport,BR
JRG,Jharsuguda Airport,IN
JRH,Rowriah Airport,IN
JRO,Kilimanjaro International Airport,TZ
JRS,Atarot,IL
IGT,Magas Airport,RU
IGU,Cataratas International Airport,BR
IHC,Inhaca,MZ
IHN,Qishn,YE
IHO,Ihosy,MG
JSL,Steel Pier Heliport,US
IHR,Iran Shahr,IR
JSP,Seogwipo Heliport,KR
JSM,Jose De San Martin,AR
JTY,Astypalaia Airport,GR
JSU,Heliport,GL
JSY,Syros Island Airport,GR
JUR,Jurien Bay,AU
JTI,Jatai,BR
JTO,Heliport,US
JTR,Santorini International Airport,GR
IIL,Ilaam Airport,IR
JWA,Jwaneng,BW
JUC,Universal City Heliport,US
JUH,Chizhou Jiuhuashan Airport,CN
IJU,J. Batista Bos Filho Airport,BR
JUJ,El Cadillal Airport,AR
IJX,Municipal,US
IKA,Imam Khomeini International Airport,IR
JUO,Jurado,CO
JUP,Cable Heliport,US
IKB,Wilkes County,US
JUT,Juticalpa,HN
JUZ,Quzhou Airport,CN
JVL,Rock County,US
IKI,Iki Airport,JP
IKK,Greater Kankakee,US
JWL,Woodlawns,US
IKP,Inkerman,AU
JXN,Reynolds Municipal,US
IKS,Tiksi Airport,RU
IKT,Irkutsk International Airport,RU
IKU,Issyk-Kul International Airport,KG
JSR,Jessore Airport,BD
JST,Cambria County Airport,US
KAC,Kameshly Airport,SY
KAD,Kaduna Airport,NG
KUZ,Gunsan Airbase,KR
JTC,Bauru-Arealva Airport,BR
JUB,Juba International Airport,SS
JUI,Juist,DE
JUL,Juliaca Airport,PE
JUM,Jumla,NP
JWN,Zanjan,IR
JYR,Jiroft,IR
JYV,Jyvaskyla Airport,FI
JZH,Jiuzhai Huanglong Airport,CN
KAA,Kasama Airport,ZM
ILB,Ilha Solteira,BR
KAJ,Kajaani Airport,FI
KAM,Kamaran Island,YE
KAN,Mallam Aminu Kano International Airport,NG
KAO,Kuusamo Airport,FI
ILD,Lleida-Alguaire Airport,ES
KAT,Kaitaia,NZ
ILE,Municipal,US
KAX,Kalbarri,AU
KAZ,Kau,ID
KBA,Kabala,SL
KBH,Kalat,PK
KBL,Kabul International Airport,AF
KBP,Boryspil International Airport,UA
KBI,Kribi,CM
KBR,Sultan Ismail Petra Airport,MY
KBS,Bo,SL
KBV,Krabi Airport,TH
KBN,Kabinda,CD
KCF,Kadanwari,PK
KCH,Kuching International Airport,MY
KAS,Karasburg,NA
KAU,Kauhava,FI
ILG,Greater Wilmington,US
ILH,Illis Airbase,DE
KBU,Gusti Syamsir Alam Airport,ID
ILI,Iliamna Airport,US
ILK,Ilaka,MG
KBX,Kambuaya,ID
ILL,Willmar,US
KBZ,Kaikoura,NZ
KCA,Kuqa Airport,CN
ILM,Wilmington International Airport,US
ILN,Clinton Field,US
ILO,Mandurriao Airport,PH
ILP,Ile Des Pins Airport,NC
ILQ,Ilo,PE
ILR,Ilorin International Airport,NG
ILS,Ilopango International Airport,SV
ILU,Kilaguni,KE
ILX,Ileg,PG
ILZ,Zilina,SK
IMA,Iamalele,PG
IMD,Imonda,PG
IMF,Imphal Municipal Airport,IN
IMG,Inhaminga,MZ
IML,Imperial,US
IMM,Immokalee,US
IMO,Zemio,CF
IMP,Imperatriz Airport,BR
KCK,Kirensk Airport,RU
KCM,Kahramanmaras Airport,TR
KCO,Cengiz Topel Airport,TR
KCP,Kamenets-podolskiy,UA
KCU,Masindi,UG
KCZ,Kochi Ryoma Airport,JP
ALO,Waterloo Airport,US
IMT,Ford Airport,US
KDH,Kandahar Airport,AF
KDM,Kaadedhdhoo,MV
INA,Inta Airport,RU
KDX,Kadugli,SD
KDN,Ndende,GA
INB,Independence,BZ
KED,Kaedi,MR
KEF,Keflavik International Airport,IS
KDR,Kandrian,PG
KEH,Kenmore Air Harbor,US
KDT,Kamphangsaen,TH
KDU,Skardu Airport,PK
KEJ,Kemerovo Airport,RU
KEL,Kiel-Holtenau,DE
KDY,Mahaweli,LK
KDZ,Polgolla Reservoir Airport,LK
KEM,Kemi/Tornio Airport,FI
KDA,Kolda,SN
KEC,Kasenga,CD
KDC,Kandi,BJ
KDD,Khuzdar,PK
KDL,Kardla Airport,EE
KDO,Kadhdhoo,MV
KEN,Kenema,SL
INC,Yinchuan Hedong International Airport,CN
IND,Indianapolis International Airport,US
INE,Chinde,MZ
ING,Lago Argentino,AR
INH,Inhambane Airport,MZ
INI,Nis Constantine the Great Airport,RS
INJ,Injune,AU
INK,Wink,US
INL,Falls International Airport,US
INN,Innsbruck Airport,AT
INO,Inongo,CD
INQ,Inisheer,IE
INT,Smith-Reynolds Airport,US
INU,Nauru International,NR
INV,Inverness Airport,GB
INW,Winslow-Lindbergh,US
KEO,Odienne,CI
KEP,Nepalganj Airport,NP
KEQ,Kebar,ID
KER,Kerman Airport,IR
KEV,Halli,FI
KEY,Kericho,KE
KEZ,Kelaniya River,LK
KGY,Kingaroy,AU
KGA,Kananga,CD
KHC,Kerch,UA
INX,Inanwatan,ID
INZ,In Salah Airport,DZ
IOA,Ioannina Airport,GR
IOK,Iokea,PG
IOM,Isle of Man Airport,IM
KGN,Kasongo Lunda,CD
ION,Impfondo,CG
KGP,Kogalym International Airport,RU
IOP,Ioma,PG
IOR,Kilronan,IE
IOS,Ilheus/Bahia-Jorge Amado Airport,BR
IOU,Ile Ouen,NC
IOW,Iowa City,US
IPC,Mataveri International Airport,CL
IPE,Ipil,PH
IPG,Ipiranga,BR
KHA,Khaneh,IR
IPH,Ipoh Airport,MY
IPI,San Luis Airport,CO
KHE,Kherson International Airport,UA
KHG,Kashi Airport,CN
KFS,Kastamonu Airport,TR
KGD,Khrabrovo Airport,RU
KGF,Karaganda Airport,KZ
KGG,Kedougou,SN
KGI,Kalgoorlie Airport,AU
KGJ,Karonga,MW
KGL,Kigali International Airport,RW
KGO,Kirovograd,UA
KGS,Kos Airport,GR
KHD,Khorramabad,IR
KHH,Kaohsiung International Airport,TW
KHI,Jinnah International Airport,PK
KHJ,Kauhajoki,FI
KHK,Khark Island,IR
KHM,Khamti,MM
KHN,Nanchang Changbei International Airport,CN
IPN,Usiminas Airport,BR
IPT,Lycoming County Airport,US
IPU,Ipiau,BR
IPW,Ipswich,GB
KHR,Kharkhorin,MN
KHU,Kremenchug,UA
KHT,Khost,AF
IPZ,San Isidro de El General Airport,CR
KIC,Mesa Del Rey,US
KHX,Savannah Airstrip,UG
KIE,Aropa,PG
IQN,Qingyang Airport,CN
KIS,Kisumu Airport,KE
IQQ,Diego Aracena International Airport,CL
KIG,Koinghaas,ZA
KIT,Kithira Airport,GR
KIX,Kansai International Airport,JP
KIK,Kirkuk,IQ
KIL,Kilwa,CD
KJT,Kertajati International Airport,ID
KIO,Kili Island,MH
IQT,C.F. Secada Vignetta International Airport,PE
IRB,Municipal,US
IRC,Circle City,US
KIU,Kiunga,KE
IRD,Ishurdi,BD
KIW,Southdowns,ZM
IRE,Irece,BR
KJA,Yemelyanovo Airport,RU
IRI,Nduli Airport,TZ
KJI,Kanasi Airport,CN
IRJ,La Rioja Airport,AR
KJP,Kerama,JP
IRK,Kirksville Municipal Airport,US
KJX,Blangpidie Airport,ID
IRM,Igrim,RU
IRN,Iriona,HN
KHS,Khasab Airport,OM
KHV,Khabarovsk Airport,RU
KHY,Khoy,IR
KID,Kristianstad Airport,SE
KIH,Kish International Airport,IR
KIJ,Niigata Airport,JP
KIM,Kimberley Airport,ZA
KIR,Kerry County Airport,IE
KIV,Chisinau International Airport,MD
KJH,Kaili Huangping Airport,CN
KJK,Kortrijk,BE
KKC,Khon Kaen Airport,TH
KKE,Kerikeri Airport,NZ
IRO,Birao,CF
IRP,Matari,CD
IRS,Kirsch Municipal,US
KKJ,Kitakyushu Airport,JP
KKM,Lop Buri,TH
KKN,Kirkenes Airport Hoeybuktmoen,NO
KKO,Kaikohe,NZ
KKS,Kashan Airport,IR
KKT,Kentland,US
IRU,Iranamadu SPB,LK
IRZ,Tapuruquara,BR
KLC,Kaolack,SN
KLD,Migalovo,RU
ISB,Islamabad International Airport,PK
KLF,Grabtsevo Airport,RU
KLO,Kalibo International Airport,PH
KLH,Kolhapur,IN
KLU,Klagenfurt Airport,AT
KLJ,Klaipeda,LT
KLV,Karlovy Vary Airport,CZ
KLX,Kalamata Airport,GR
ISC,St Marys,GB
KME,Kamembe,RW
KMG,Kunming Changshui International Airport,CN
KMI,Miyazaki Airport,JP
KLQ,Keluang,ID
KLR,Kalmar Oland Airport,SE
KMJ,Kumamoto Airport,JP
KLT,Kaiserslautern,DE
KKY,Kilkenny,IE
KKZ,Koh Kong,KH
KLB,Kalabo Airport,ZM
KLE,Kaele,CM
KLM,Kalaleh,IR
ISD,Iscuande,CO
KLZ,Kleinzee,ZA
ISE,Isparta Suleyman Demirel Airport,TR
KMC,King Khalid Military,SA
ISG,Painushima Ishigaki Airport,JP
ISH,Ischia Airport,IT
ISJ,Isla Mujeres,MX
KMH,Kuruman,ZA
ISK,Gandhinagar Airport,IN
ISM,Kissimmee Gateway,US
ISO,Stallings Field,US
ISP,Long Island MacArthur Airport,US
ISQ,Schoolcraft County,US
ISS,Wiscasset,US
IST,Istanbul New Airport,TR
ISU,Sulaimaniyah International Airport,IQ
KMN,Kamina,CD
KMP,J.G.H. Van Der Wath,NA
KMQ,Komatsu Airport,JP
KMS,Kumasi Airport,GH
KMT,Kampot,KH
KMU,Kismayu,SO
KMV,Kalemyo Airport,MM
KMW,Sokerkino,RU
KMX,Khamis Mushait,SA
KMZ,Kaoma,ZM
KNA,Vina del Mar,CL
ISW,Alexander Field,US
KNF,Marham RAF,GB
KNG,Kaimana Airport,ID
ITA,Itacoatiara,BR
KNI,Katanning,AU
KNJ,Kindamba,CG
KNO,Kuala Namu International Airport,ID
KNM,Kaniama,CD
KNN,Kankan,GN
KNR,Jam,IR
KNS,King Island Airport,AU
KNQ,Kone,NC
KNZ,Kenieba,ML
KNB,Kanab,US
KNT,Municipal,US
ITB,Itaituba,BR
KNH,Kinmen Airport,TW
KNU,Kanpur Airport,IN
KOO,Kongolo,CD
ITE,Itubera,BR
ITH,Ithaca Tompkins Regional Airport,US
ITK,Itokama,PG
KOC,Koumac,NC
KOD,Kotabangun,ID
ITM,Itami Airport,JP
ITN,Itabuna,BR
KOG,Khong,LA
ITR,Hidroeletrica,BR
ITU,Iturup,RU
IUE,Hanan Airport,NU
IUL,Ilu,ID
IUS,Inus,PG
IVA,Ambanja,MG
KON,Kontum,VN
IVC,Invercargill Airport,NZ
IVG,Ivangrad,ME
IVH,Ivishak,US
IVI,Isla Viveros,PA
IVL,Ivalo Airport,FI
IVO,Chivolo,CO
